target,positive_count,prevalence,prior_loss,logistic_loss,improvement,winner
thymidylate_synthase_inhibitor,37,0.0015537079029142521,0.011480547470370122,0.015466607182015762,-0.00398605971164564,prior
cholinergic_receptor_antagonist,54,0.0022675736961451248,0.015895394596152527,0.019883458967809246,-0.003988064371656719,prior
histone_lysine_demethylase_inhibitor,24,0.0010078105316200555,0.007884110647346995,0.011890378860694783,-0.004006268213347788,prior
ikk_inhibitor,30,0.0012597631645250692,0.009571421942949155,0.013597005384330712,-0.004025583441381557,prior
histamine_receptor_agonist,59,0.0024775342235659695,0.01714731964217816,0.021176980056090536,-0.0040296604139123775,prior
bacterial_30s_ribosomal_subunit_inhibitor,60,0.0025195263290501385,0.017394727641939067,0.02150801245632599,-0.004113284814386924,prior
radiopaque_medium,56,0.0023515579071134627,0.016398423045183685,0.02052131792944371,-0.004122894884260025,prior
chelating_agent,54,0.0022675736961451248,0.015895394596152527,0.02003454952336546,-0.004139154927212934,prior
dna_alkylating_agent,48,0.002015621063240111,0.014367550763523144,0.01854548853768683,-0.004177937774163688,prior
focal_adhesion_kinase_inhibitor,18,0.0007558578987150416,0.006133055423328568,0.010354004146217982,-0.0042209487228894145,prior
potassium_channel_activator,55,0.0023095658016292937,0.01614638741531612,0.02037133531370284,-0.004224947898386719,prior
protein_kinase_inhibitor,48,0.002015621063240111,0.014367576759204732,0.018631928088616755,-0.004264351329412023,prior
trpv_antagonist,48,0.002015621063240111,0.014367636901175436,0.0186381367759966,-0.004270499874821164,prior
adenosine_receptor_agonist,54,0.0022675736961451248,0.015895394596152527,0.020213202690750803,-0.0043178080945982765,prior
farnesyltransferase_inhibitor,18,0.0007558578987150416,0.006133032856970355,0.010462995791003975,-0.00432996293403362,prior
aromatase_inhibitor,47,0.0019736289577559417,0.014109880540486041,0.018440434530015027,-0.004330553989528986,prior
serotonin_reuptake_inhibitor,44,0.001847652641303435,0.013330921445878264,0.01766209684688312,-0.004331175401004857,prior
pkc_inhibitor,31,0.0013017552700092382,0.00984925320019057,0.014224326013781671,-0.004375072813591101,prior
androgen_receptor_agonist,48,0.002015621063240111,0.014367614306386502,0.01874740968688711,-0.004379795380500607,prior
cholesterol_inhibitor,48,0.002015621063240111,0.014367581684731658,0.01875345232739786,-0.0043858706426662016,prior
mucolytic_agent,48,0.002015621063240111,0.014367614306386502,0.018790147398959973,-0.004422533092573471,prior
trpv_agonist,25,0.0010498026371042245,0.008167705546009955,0.012630827465541158,-0.004463121919531203,prior
tnf_inhibitor,36,0.0015117157974300832,0.011211163297760193,0.01570798566281484,-0.0044968223650546455,prior
casein_kinase_inhibitor,36,0.0015117157974300832,0.011211163297760193,0.015722343198978837,-0.004511179901218644,prior
btk_inhibitor,29,0.0012177710590409003,0.009295283814028688,0.013820383722141165,-0.004525099908112477,prior
integrin_inhibitor,42,0.001763668430335097,0.012807809113956922,0.01737976569969829,-0.004571956585741369,prior
cannabinoid_receptor_agonist,42,0.001763668430335097,0.012807745587782504,0.017384663531261186,-0.004576917943478682,prior
nrf2_activator,18,0.0007558578987150416,0.006133081386181128,0.010740005879938633,-0.004606924493757505,prior
faah_inhibitor,36,0.0015117157974300832,0.011211218485177062,0.015821813362436148,-0.004610594877259086,prior
chloride_channel_blocker,42,0.001763668430335097,0.012807831702787854,0.01746304920017231,-0.004655217497384456,prior
atr_kinase_inhibitor,19,0.0007978500041992105,0.006429011209055436,0.011157735743179941,-0.004728724534124505,prior
neuropeptide_receptor_antagonist,37,0.0015537079029142521,0.011480529809468301,0.01622667030924906,-0.004746140499780758,prior
bacterial_antifolate,36,0.0015117157974300832,0.011211218485177062,0.015984616731253676,-0.004773398246076614,prior
sigma_receptor_agonist,36,0.0015117157974300832,0.011211223408079741,0.016028789665530396,-0.004817566257450655,prior
sigma_receptor_antagonist,36,0.0015117157974300832,0.011211200825203663,0.016030424262538825,-0.004819223437335162,prior
angiotensin_receptor_antagonist,37,0.0015537079029142521,0.011480633567266488,0.01630340593610747,-0.0048227723688409815,prior
antiprotozoal,36,0.0015117157974300832,0.011211200825203665,0.016061823446386878,-0.004850622621183213,prior
carbonic_anhydrase_inhibitor,36,0.0015117157974300832,0.011211249390130507,0.01609484499327805,-0.004883595603147543,prior
syk_inhibitor,19,0.0007978500041992105,0.006428951139670386,0.011352014599130041,-0.004923063459459655,prior
orexin_receptor_antagonist,37,0.0015537079029142521,0.011480578376948304,0.01643129663947019,-0.004950718262521886,prior
rna_polymerase_inhibitor,25,0.0010498026371042245,0.008167705546009955,0.013223119796306498,-0.005055414250296543,prior
prostaglandin_inhibitor,36,0.0015117157974300832,0.011211249390130507,0.016324734910027026,-0.005113485519896519,prior
angiogenesis_inhibitor,36,0.0015117157974300832,0.011211249390130507,0.01633054267689909,-0.0051192932867685816,prior
imidazoline_receptor_agonist,31,0.0013017552700092382,0.009849290719744528,0.015008653141625099,-0.005159362421880571,prior
ppar_receptor_antagonist,30,0.0012597631645250692,0.009571421942949155,0.014736028907870229,-0.005164606964921074,prior
wnt_inhibitor,30,0.0012597631645250692,0.009571421942949155,0.014737984905872222,-0.005166562962923067,prior
fatty_acid_receptor_agonist,25,0.0010498026371042245,0.008167705546009955,0.013398459192598411,-0.005230753646588456,prior
insulin_secretagogue,30,0.0012597631645250692,0.009571421942949155,0.014846760263778312,-0.005275338320829158,prior
atp_synthase_inhibitor,12,0.0005039052658100278,0.004296522053988482,0.00962276369810639,-0.005326241644117908,prior
tlr_agonist,30,0.0012597631645250692,0.009571421942949156,0.014899309874467968,-0.005327887931518812,prior
p-glycoprotein_inhibitor,24,0.0010078105316200555,0.007884088075042655,0.013223283712591058,-0.005339195637548403,prior
fungal_squalene_epoxidase_inhibitor,23,0.0009658184261358865,0.007597912056446117,0.012967318264559272,-0.005369406208113155,prior
dipeptidyl_peptidase_inhibitor,25,0.0010498026371042245,0.008167705546009955,0.013554512649769163,-0.005386807103759208,prior
nitric_oxide_synthase_inhibitor,26,0.0010917947425883934,0.008453453256238037,0.01385013445042536,-0.005396681194187323,prior
smoothened_receptor_antagonist,25,0.0010498026371042245,0.008167705546009955,0.013564784977289458,-0.0053970794312795025,prior
mineralocorticoid_receptor_antagonist,25,0.0010498026371042245,0.008167705546009953,0.013567351264407187,-0.005399645718397234,prior
